Team,Opponent,Team_Score,Opp_Score,Spread,Spread_Covered,Final_Score,Date
Dixie State,Southern Utah,72,65,-4.5,Y,72-65,2025-03-11
Notre Dame,Pittsburgh,55,54,4.5,Y,55-54,2025-03-11
Rider,Siena,78,76,4.5,Y,78-76,2025-03-11
Montana,Idaho,78,55,-6.5,Y,78-55,2025-03-11
Kansas State,Arizona State,71,66,-6.0,Y,71-66,2025-03-11
UTEP,Sam Houston State,79,65,-2.0,Y,79-65,2025-03-11
Vermont,Maine,42,57,-4.5,N,42-57,2025-03-11
Florida State,Syracuse,62,66,-3.5,N,62-66,2025-03-11
Bryant,Albany,91,78,-11.5,Y,91-78,2025-03-11
Grambling State,Alabama A&M,73,56,-4.5,Y,73-56,2025-03-11
UNC Wilmington,Delaware,76,72,-9.0,Y,76-72,2025-03-11
Western Kentucky,Florida International,61,64,-5.0,Y,61-64,2025-03-11
Robert Morris,Youngstown State,89,78,-3.5,Y,89-78,2025-03-11
St. Mary's,Gonzaga,51,58,3.5,N,51-58,2025-03-11
Utah,Central Florida,72,87,-2.0,N,72-87,2025-03-11
McNeese State,Northwestern State,83,64,-15.0,Y,83-64,2025-03-11
Florida A&M,Prairie View A&M,75,66,-7.0,Y,75-66,2025-03-11
Sacred Heart,Fairfield,71,58,-4.5,Y,71-58,2025-03-11
Northern Colorado,Montana State,72,45,-5.5,Y,72-45,2025-03-11
Western Michigan,Coastal Carolina,76,71,-2.0,Y,76-71,2025-11-03
Utah,San Jose State,84,75,-12.5,Y,84-75,2025-11-03
BYU,Villanova,71,66,-9.5,Y,71-66,2025-11-03
California,Cal State-Bakersfield,87,60,-15.5,Y,87-60,2025-11-03
Tennessee,Mercer,76,61,-28.5,Y,76-61,2025-11-03
Duquesne,Niagara,83,63,-17.0,Y,83-63,2025-11-03
St. John's,Quinnipiac,108,74,-26.5,Y,108-74,2025-11-03
Baylor,UTRGV,96,81,-24.5,Y,96-81,2025-11-03
Virginia,Rider,87,53,-26.5,Y,87-53,2025-11-03
Akron,James Madison,85,71,-8.5,Y,85-71,2025-11-03
South Dakota,Dixie State,79,81,-2.0,N,79-81,2025-11-03
Colorado,Montana State,84,78,-12.5,Y,84-78,2025-11-03
Ball State,Louisiana-Lafayette,75,64,-4.0,Y,75-64,2025-11-03
Oregon State,North Dakota State,67,65,-9.5,Y,67-65,2025-11-03
Miami-Ohio,Old Dominion,87,72,-7.5,Y,87-72,2025-11-03
Saint Louis,Southeast Missouri State,92,67,-18.5,Y,92-67,2025-11-03
Ohio,Arkansas State,85,89,-3.5,N,85-89,2025-11-03
Charlotte,Indiana State,92,76,-4.5,Y,92-76,2025-11-03
SMU,Tarleton State,96,76,-21.5,Y,96-76,2025-11-03
Ohio State,IUPUI,118,102,-33.5,Y,118-102,2025-11-03
Loyola-Chicago,Cleveland State,91,88,-17.5,Y,91-88,2025-11-03
Wisconsin-Milwaukee,Hampton,90,86,-5.5,Y,90-86,2025-11-03
Alabama,North Dakota,91,62,-35.5,Y,91-62,2025-11-03
Northern Illinois,Louisiana-Monroe,102,82,-7.5,Y,102-82,2025-11-03
Michigan,Oakland,121,78,-24.5,Y,121-78,2025-11-03
UIC,Detroit,91,71,-9.5,Y,91-71,2025-11-03
St. Mary's,St. Thomas (MN),84,58,-13.5,Y,84-58,2025-11-03
Kansas,Wisconsin-Green Bay,94,51,-30.5,Y,94-51,2025-11-03
Grand Canyon,PFW,90,71,-14.5,Y,90-71,2025-11-03
Washington State,Idaho,81,83,-7.5,Y,81-83,2025-11-03
Central Florida,Hofstra,82,78,-9.5,Y,82-78,2025-11-03
Penn State,Fairfield,76,68,-15.5,Y,76-68,2025-11-03
UMass,Marshall,72,78,-4.5,N,72-78,2025-11-03
Arizona,Florida,93,87,3.5,Y,93-87,2025-11-03
Bowling Green,Texas State,83,48,-5.0,Y,83-48,2025-11-03
Xavier,Marist,66,62,-12.5,Y,66-62,2025-11-03
George Mason,Wofford,70,46,-14.5,Y,70-46,2025-11-03
Toledo,South Alabama,74,76,-2.5,Y,74-76,2025-11-03
Pittsburgh,Youngstown State,74,59,-14.0,Y,74-59,2025-11-03
Nebraska-Omaha,Murray State,77,85,5.5,N,77-85,2025-11-03
St. Bonaventure,Bradley,69,63,-1.0,Y,69-63,2025-11-03
UCLA,Eastern Washington,80,74,-29.5,Y,80-74,2025-11-03
Florida Atlantic,Boston College,83,78,-2.0,Y,83-78,2025-11-03
USC,Cal Poly,94,64,-24.5,Y,94-64,2025-11-03
Buffalo,Southern Mississippi,85,79,-3.5,Y,85-79,2025-11-03
Seton Hall,Saint Peter's,77,50,-13.5,Y,77-50,2025-11-03
Wisconsin,Campbell,96,64,-21.0,Y,96-64,2025-11-03
Cincinnati,Western Carolina,94,63,-22.5,Y,94-63,2025-11-03
Tulane,Samford,85,72,-7.5,Y,85-72,2025-11-03
Dayton,Canisius,88,48,-25.5,Y,88-48,2025-11-03
Seattle,Denver,84,73,-12.5,Y,84-73,2025-11-03
Eastern Michigan,Georgia State,71,49,-3.5,Y,71-49,2025-11-03
Kent State,Troy,97,103,-3.5,N,97-103,2025-11-03
Western Kentucky,Tennessee Tech,82,70,-14.5,Y,82-70,2025-11-03
Central Michigan,Appalachian State,82,66,-1.0,Y,82-66,2025-11-03
Drake,Northern Arizona,77,71,-8.5,Y,77-71,2025-11-03
Belmont,Air Force,79,63,-16.5,Y,79-63,2025-11-03
Iowa,Robert Morris,101,69,-22.5,Y,101-69,2025-11-04
East Carolina,Georgia Southern,92,89,-5.5,Y,92-89,2025-11-04
South Carolina,North Carolina A&T,91,72,-22.5,Y,91-72,2025-11-04
Valparaiso,Eastern Illinois,66,63,-6.0,Y,66-63,2025-11-04
Oklahoma State,Oral Roberts,95,71,-20.5,Y,95-71,2025-11-04
Kansas State,UNC Greensboro,93,64,-19.0,Y,93-64,2025-11-04
West Virginia,Mount St. Mary's,70,54,-19.5,Y,70-54,2025-11-04
Arizona State,Southern Utah,81,64,-17.5,Y,81-64,2025-11-04
Oregon,Hawaii,60,59,-11.5,Y,60-59,2025-11-04
UNLV,Tennessee-Martin,81,86,-16.5,Y,81-86,2025-11-04
Nevada,Louisiana Tech,77,50,-9.5,Y,77-50,2025-11-04
Stanford,Portland State,89,79,-10.5,Y,89-79,2025-11-04
Duke,Texas,75,60,-10.5,Y,75-60,2025-11-04
Texas Tech,Lindenwood,98,60,-29.5,Y,98-60,2025-11-04
Purdue,Evansville,82,51,-33.5,Y,82-51,2025-11-04
Loyola Marymount,Eastern Washington,70,62,-9.5,Y,70-62,2025-11-05
UC Davis,North Dakota State,80,68,-2.5,Y,80-68,2025-11-05
Butler,Southern Indiana,88,58,-22.5,Y,88-58,2025-11-05
Creighton,South Dakota,92,76,-29.5,Y,92-76,2025-11-05
Rutgers,Rider,81,53,-18.5,Y,81-53,2025-11-05
LSU,Tarleton State,96,60,-15.5,Y,96-60,2025-11-05
West Virginia,Campbell,73,65,-15.5,Y,73-65,2025-11-06
Washington,Denver,84,70,-27.5,Y,84-70,2025-11-06
Drake,Robert Morris,79,81,-7.5,Y,79-81,2025-11-06
North Dakota,UC Riverside,70,74,-1.5,N,70-74,2025-11-06
Ohio,Illinois State,72,68,-1.5,Y,72-68,2025-11-06
California,Wright State,77,67,-14.5,Y,77-67,2025-11-06
Abilene Christian,Nebraska-Omaha,73,71,-4.5,Y,73-71,2025-11-06
Northern Iowa,Cal State-Northridge,86,57,-9.5,Y,86-57,2025-11-06
Boston College,The Citadel,76,47,-15.5,Y,76-47,2025-11-06
UCLA,Pepperdine,74,63,-29.5,Y,74-63,2025-11-07
Ohio State,PFW,94,68,-23.5,Y,94-68,2025-11-07
UTSA,Southern Illinois-Edwardsville,60,77,-6.5,N,60-77,2025-11-07
Rhode Island,Tulsa,65,82,-3.5,N,65-82,2025-11-07
Texas Tech,Sam Houston State,98,77,-31.5,Y,98-77,2025-11-07
Charlotte,Tennessee Tech,70,65,-12.5,Y,70-65,2025-11-07
Wisconsin,Northern Illinois,97,72,-28.5,Y,97-72,2025-11-07
Buffalo,Wisconsin-Green Bay,83,76,-4.0,Y,83-76,2025-11-07
San Diego,Idaho State,68,71,-4.5,Y,68-71,2025-11-07
Brown,Siena,46,62,3.5,N,46-62,2025-11-07
Wake Forest,Morehead State,81,65,-21.5,Y,81-65,2025-11-07
Iona,Hofstra,81,73,1.5,Y,81-73,2025-11-07
Kentucky,Valparaiso,107,59,-32.5,Y,107-59,2025-11-07
Maryland,Georgetown University,60,70,-4.5,N,60-70,2025-11-07
North Carolina,Kansas,87,74,-2.5,Y,87-74,2025-11-07
Liberty,College of Charleston,90,75,-10.5,Y,90-75,2025-11-07
Davidson,Washington State,85,69,-3.5,Y,85-69,2025-11-07
Notre Dame,Detroit,102,70,-21.5,Y,102-70,2025-11-07
Oregon State,UIC,76,73,-6.5,Y,76-73,2025-11-07
Duquesne,Sacred Heart,92,80,-12.5,Y,92-80,2025-11-07
Oregon,Rice,67,63,-15.5,Y,67-63,2025-11-07
Purdue,Oakland,87,77,-31.5,Y,87-77,2025-11-07
NC State,UAB,94,70,-20.0,Y,94-70,2025-11-07
Kent State,Cornell,110,102,-5.5,Y,110-102,2025-11-07
Missouri,Southeast Missouri State,89,84,-25.5,Y,89-84,2025-11-07
Southern Illinois,UMKC,101,78,-12.5,Y,101-78,2025-11-07
Utah State,VCU,80,77,-2.5,Y,80-77,2025-11-07
Southern Indiana,VMI,74,78,2.5,N,74-78,2025-11-07
Arizona,Dixie State,93,67,-33.5,Y,93-67,2025-11-07
St. Mary's,Chattanooga,87,66,-14.5,Y,87-66,2025-11-07
Iowa,Western Illinois,77,58,-30.5,Y,77-58,2025-11-07
Furman,Troy,61,64,-2.5,N,61-64,2025-11-07
Cincinnati,Georgia State,74,64,-29.5,Y,74-64,2025-11-07
Grand Canyon,Youngstown State,81,90,-15.5,Y,81-90,2025-11-07
Ole Miss,Louisiana-Monroe,86,65,-37.5,Y,86-65,2025-11-07
UC Irvine,Cal Baptist,61,69,-8.5,Y,61-69,2025-11-07
Tulane,Texas State,79,71,-12.5,Y,79-71,2025-11-08
La Salle,Monmouth,73,60,-4.5,Y,73-60,2025-11-08
Colorado,Eastern Washington,102,97,-15.5,Y,102-97,2025-11-08
Houston,Towson,65,48,-25.5,Y,65-48,2025-11-08
George Washington,South Florida,99,95,1.5,Y,99-95,2025-11-08
Tennessee,Northern Kentucky,95,56,-27.5,Y,95-56,2025-11-08
Memphis,San Francisco,76,70,-2.5,Y,76-70,2025-11-08
Central Florida,Vanderbilt,93,105,9.5,N,93-105,2025-11-08
St. Bonaventure,Canisius,89,70,-21.5,Y,89-70,2025-11-08
Nebraska,Florida International,96,66,-21.5,Y,96-66,2025-11-08
St. John's,Alabama,96,103,-4.5,N,96-103,2025-11-08
New Mexico,Texas-Arlington,74,56,-13.5,Y,74-56,2025-11-08
Toledo,Marshall,73,85,-2.5,N,73-85,2025-11-08
Akron,Princeton,104,69,-12.5,Y,104-69,2025-11-08
Duke,Western Carolina,95,54,-36.5,Y,95-54,2025-11-08
Stanford,Montana,91,68,-12.5,Y,91-68,2025-11-08
Boise State,Utah Valley,101,77,-11.5,Y,101-77,2025-11-08
Wofford,Wisconsin-Milwaukee,86,76,3.5,Y,86-76,2025-11-08
Nevada,Pacific,78,77,-13.5,Y,78-77,2025-11-08
Utah,Weber State,92,89,-15.5,Y,92-89,2025-11-08
Gonzaga,Oklahoma,83,68,-10.5,Y,83-68,2025-11-08
Michigan State,Arkansas,69,66,-2.5,Y,69-66,2025-11-08
Providence,Virginia Tech,101,107,-2.0,N,101-107,2025-11-08
Seattle,Cal Poly,71,73,-9.5,Y,71-73,2025-11-08
UNLV,Chattanooga,101,69,-7.5,Y,101-69,2025-11-08
Belmont,Tennessee State,87,79,-13.5,Y,87-79,2025-11-08
Florida Atlantic,College of Charleston,94,77,-5.5,Y,94-77,2025-11-08
Saint Joseph's,Drexel,76,65,-9.5,Y,76-65,2025-11-08
Southern Utah,UTRGV,72,95,1.5,N,72-95,2025-11-08
Butler,IUPUI,112,80,-20.5,Y,112-80,2025-11-08
Richmond,East Carolina,87,72,-5.5,Y,87-72,2025-11-08
Wyoming,Cal State-Fullerton,92,82,-15.5,Y,92-82,2025-11-08
Fresno State,Long Beach State,82,62,-6.5,Y,82-62,2025-11-08
Bradley,Central Michigan,85,54,-9.5,Y,85-54,2025-11-08
UNC Greensboro,Elon,90,92,-4.5,Y,90-92,2025-11-08
UC-Santa Barbara,San Jose State,85,74,-9.5,Y,85-74,2025-11-08
Oklahoma State,Texas A&M,87,63,2.5,Y,87-63,2025-11-09
South Carolina,Southern Mississippi,83,79,-17.5,Y,83-79,2025-11-09
Arizona State,Dixie State,81,66,-12.5,Y,81-66,2025-11-09
Loyola-Chicago,North Texas,62,64,-1.5,N,62-64,2025-11-09
Missouri,VMI,106,68,-23.5,Y,106-68,2025-11-09
Baylor,Washington,78,69,-6.5,Y,78-69,2025-11-09
Montana State,Denver,73,75,-7.5,Y,73-75,2025-11-09
Illinois State,Cornell,76,65,-6.5,Y,76-65,2025-11-09
Georgia,Morehead State,120,81,-28.5,Y,120-81,2025-11-09
Portland,UC Davis,67,63,-2.0,Y,67-63,2025-11-09
Dartmouth,Marist,56,75,-1.5,N,56-75,2025-11-09
Colorado State,Nebraska-Omaha,97,74,-14.5,Y,97-74,2025-11-09
USC,Manhattan,114,83,-28.0,Y,114-83,2025-11-09
Northern Iowa,South Dakota State,65,58,-10.5,Y,65-58,2025-11-09
Campbell,Western Michigan,91,82,-9.5,Y,91-82,2025-11-09
San Diego State,Idaho State,73,57,-21.5,Y,73-57,2025-11-09
North Dakota,Cal State-Northridge,85,93,6.5,N,85-93,2025-11-09
Marquette,Indiana,77,100,2.5,N,77-100,2025-11-09
Liberty,Florida Atlantic,88,68,-7.5,Y,88-68,2025-11-09
Wisconsin-Milwaukee,Arkansas-Little Rock,92,72,-3.5,Y,92-72,2025-11-10
California,Cal State-Fullerton,93,65,-22.5,Y,93-65,2025-11-10
Pittsburgh,Eastern Michigan,78,66,-15.5,Y,78-66,2025-11-10
Xavier,Santa Clara,68,87,-3.5,N,68-87,2025-11-10
Saint Louis,Lindenwood,109,66,-24.5,Y,109-66,2025-11-10
Connecticut,Columbia,89,62,-33.0,Y,89-62,2025-11-10
Northwestern,Cleveland State,110,63,-23.5,Y,110-63,2025-11-10
Kent State,UNC Wilmington,86,77,-3.5,Y,86-77,2025-11-10
Iowa State,Mississippi State,96,80,-5.5,Y,96-80,2025-11-10
Southern Illinois-Edwardsville,Indiana State,55,64,-2.5,N,55-64,2025-11-10
Grand Canyon,Northern Illinois,88,59,-22.5,Y,88-59,2025-11-10
Seton Hall,Fairfield,82,59,-13.5,Y,82-59,2025-11-10
Washington State,St. Thomas (MN),81,71,-2.5,Y,81-71,2025-11-10
Gonzaga,Creighton,90,63,-11.5,Y,90-63,2025-11-11
SMU,Murray State,102,91,-10.5,Y,102-91,2025-11-11
Virginia,Hampton,91,53,-23.5,Y,91-53,2025-11-11
Florida,Florida State,78,76,-17.5,Y,78-76,2025-11-11
Louisiana-Lafayette,Tulane,62,66,5.5,Y,62-66,2025-11-11
UMKC,Iona,91,105,5.5,N,91-105,2025-11-11
Wright State,Toledo,71,81,-5.5,N,71-81,2025-11-11
UTEP,Loyola Marymount,58,71,-1.0,N,58-71,2025-11-11
BYU,Delaware,85,68,-36.0,Y,85-68,2025-11-11
DePaul,Buffalo,53,66,-18.5,Y,53-66,2025-11-11
Charlotte,Davidson,55,62,-1.5,N,55-62,2025-11-11
Villanova,Sacred Heart,94,60,-19.5,Y,94-60,2025-11-11
Richmond,William & Mary,90,86,-9.5,Y,90-86,2025-11-11
Clemson,Morehead State,83,56,-29.5,Y,83-56,2025-11-11
Quinnipiac,Yale,60,97,6.5,N,60-97,2025-11-11
Michigan,Wake Forest,85,84,-15.5,Y,85-84,2025-11-11
Cal State-Bakersfield,Western Illinois,74,58,-7.5,Y,74-58,2025-11-11
St. Mary's,Ohio,90,60,-17.5,Y,90-60,2025-11-11
Sacramento State,UC-Santa Barbara,87,92,7.5,Y,87-92,2025-11-11
Auburn,Wofford,93,62,-27.5,Y,93-62,2025-11-11
New Mexico,UC Riverside,82,68,-19.5,Y,82-68,2025-11-11
Wisconsin,Ball State,86,55,-26.5,Y,86-55,2025-11-11
Rice,Stephen F. Austin,69,81,-3.0,N,69-81,2025-11-11
Illinois,Texas Tech,81,77,-3.5,Y,81-77,2025-11-11
Temple,La Salle,90,63,-6.5,Y,90-63,2025-11-11
Louisville,Kentucky,96,88,-6.5,Y,96-88,2025-11-11
North Dakota State,Cal State-Northridge,90,68,-3.5,Y,90-68,2025-11-11
Cincinnati,Dayton,74,62,-6.5,Y,74-62,2025-11-11
Harvard,Northeastern,60,77,-5.5,N,60-77,2025-11-11
Arizona,Northern Arizona,84,49,-35.5,Y,84-49,2025-11-11
Ole Miss,Memphis,83,77,-9.5,Y,83-77,2025-11-11
Boise State,UTRGV,85,65,-17.0,Y,85-65,2025-11-11
Ohio State,Appalachian State,75,53,-23.5,Y,75-53,2025-11-11
Providence,Pennsylvania,106,81,-19.5,Y,106-81,2025-11-11
Missouri State,Arkansas State,85,86,-2.0,Y,85-86,2025-11-11
Notre Dame,Eastern Illinois,78,58,-23.5,Y,78-58,2025-11-11
UNLV,Montana,93,102,-10.5,Y,93-102,2025-11-11
Houston,Oakland,78,45,-30.5,Y,78-45,2025-11-12
Oral Roberts,Tulsa,87,88,5.5,Y,87-88,2025-11-12
Nevada,Southern Illinois,86,81,-11.5,Y,86-81,2025-11-12
Western Michigan,PFW,83,71,3.5,Y,83-71,2025-11-12
St. Bonaventure,Siena,75,66,-9.5,Y,75-66,2025-11-12
Bradley,Tennessee-Martin,67,78,-15.5,Y,67-78,2025-11-12
VCU,Saint Peter's,78,61,-21.5,Y,78-61,2025-11-12
Fresno State,UC San Diego,73,78,-1.5,N,73-78,2025-11-12
Colorado State,Cal Poly,93,79,-18.5,Y,93-79,2025-11-12
Texas State,UTSA,80,69,-3.0,Y,80-69,2025-11-12
Oregon,South Dakota State,83,69,-16.5,Y,83-69,2025-11-12
San Diego,Idaho,78,74,1.5,Y,78-74,2025-11-12
Stanford,Montana State,77,68,-14.5,Y,77-68,2025-11-12
Marquette,Arkansas-Little Rock,89,49,-21.5,Y,89-49,2025-11-12
San Francisco,Portland State,80,70,-12.5,Y,80-70,2025-11-12
South Dakota,Southern Indiana,89,74,-7.5,Y,89-74,2025-11-12
Dixie State,Manhattan,75,79,-2.5,N,75-79,2025-11-12
Marshall,Elon,96,89,-9.5,Y,96-89,2025-11-12
NC State,UNC Greensboro,110,64,-30.5,Y,110-64,2025-11-12
Indiana,Wisconsin-Milwaukee,101,70,-24.5,Y,101-70,2025-11-12
East Tennessee State,Northern Kentucky,75,63,-6.5,Y,75-63,2025-11-12
Evansville,Middle Tennessee,72,77,-2.5,N,72-77,2025-11-12
Oregon State,North Texas,66,64,-3.5,Y,66-64,2025-11-12
Missouri,Minnesota,83,60,-7.5,Y,83-60,2025-11-12
Seattle,Eastern Washington,94,67,-8.5,Y,94-67,2025-11-12
Virginia Tech,Saint Joseph's,94,59,-12.5,Y,94-59,2025-11-12
Utah State,Weber State,83,73,-22.5,Y,83-73,2025-11-12
Pacific,Long Beach State,69,66,-12.5,Y,69-66,2025-11-12
Alabama,Purdue,80,87,-3.0,N,80-87,2025-11-13
LSU,Florida International,98,81,-21.5,Y,98-81,2025-11-13
Kansas State,California,99,96,-6.5,Y,99-96,2025-11-13
St. Thomas (MN),Wisconsin-Green Bay,80,61,-13.5,Y,80-61,2025-11-13
West Virginia,Pittsburgh,71,49,-6.5,Y,71-49,2025-11-13
South Alabama,Central Michigan,66,64,-5.5,Y,66-64,2025-11-13
Wichita State,Loyola-Chicago,95,74,-5.5,Y,95-74,2025-11-13
Michigan State,San Jose State,79,60,-24.5,Y,79-60,2025-11-13
Seton Hall,Monmouth,70,58,-15.5,Y,70-58,2025-11-13
Texas Tech,Wisconsin-Milwaukee,80,63,-27.5,Y,80-63,2025-11-14
Brown,Hampton,63,72,-1.5,N,63-72,2025-11-14
DePaul,Northwestern,79,81,5.0,Y,79-81,2025-11-14
Georgia,Georgia Tech,92,87,-15.5,Y,92-87,2025-11-14
Texas A&M,Central Florida,74,86,-10.5,N,74-86,2025-11-14
UC Davis,Sacramento State,77,73,-4.5,Y,77-73,2025-11-14
Arizona State,Gonzaga,65,77,13.5,Y,65-77,2025-11-14
Drake,Southern Illinois-Edwardsville,59,61,-7.5,Y,59-61,2025-11-14
Eastern Michigan,IUPUI,83,90,-4.5,N,83-90,2025-11-14
Iona,Fordham,76,71,-5.5,Y,76-71,2025-11-14
Baylor,Tarleton State,94,81,-24.0,Y,94-81,2025-11-14
Kentucky,Eastern Illinois,99,53,-35.5,Y,99-53,2025-11-14
UCLA,Arizona,65,69,1.5,N,65-69,2025-11-14
Duke,Indiana State,100,62,-37.5,Y,100-62,2025-11-14
Iowa,Xavier,81,62,-15.5,Y,81-62,2025-11-14
Colorado,Providence,97,88,-1.5,Y,97-88,2025-11-14
Montana,Cal Poly,90,82,-7.5,Y,90-82,2025-11-14
Cal Baptist,Western Illinois,69,59,-15.5,Y,69-59,2025-11-14
Jacksonville State,Coastal Carolina,74,67,-7.5,Y,74-67,2025-11-14
St. Mary's,North Texas,80,49,-15.0,Y,80-49,2025-11-14
TCU,Michigan,63,67,7.5,Y,63-67,2025-11-14
Northern Iowa,Furman,70,54,-9.5,Y,70-54,2025-11-14
Loyola Marymount,Troy,74,63,-4.5,Y,74-63,2025-11-14
Ole Miss,Cal State-Bakersfield,82,60,-23.5,Y,82-60,2025-11-14
USC,Illinois State,87,67,-15.5,Y,87-67,2025-11-14
Arkansas,Samford,79,75,-24.5,Y,79-75,2025-11-14
Washington State,Washington,69,81,8.5,N,69-81,2025-11-14
Nebraska-Omaha,Southern Utah,90,85,-8.5,Y,90-85,2025-11-15
Utah State,UTEP,75,51,-16.5,Y,75-51,2025-11-15
UC Riverside,North Dakota,74,76,-3.5,Y,74-76,2025-11-15
St. John's,William & Mary,93,60,-28.5,Y,93-60,2025-11-15
Denver,UTSA,79,84,-3.5,N,79-84,2025-11-15
Davidson,Bowling Green,91,87,-4.5,Y,91-87,2025-11-15
Villanova,Duquesne,87,77,-10.5,Y,87-77,2025-11-15
Seattle,Idaho State,83,74,-10.5,Y,83-74,2025-11-15
Louisville,Ohio,106,81,-31.5,Y,106-81,2025-11-15
Pepperdine,Northern Colorado,81,88,1.5,N,81-88,2025-11-15
New Mexico State,New Mexico,76,68,3.5,Y,76-68,2025-11-15
Saint Louis,Grand Canyon,78,64,-8.0,Y,78-64,2025-11-15
Wyoming,Portland,93,56,-11.5,Y,93-56,2025-11-15
Cal State-Fullerton,Pacific,73,85,6.5,N,73-85,2025-11-15
Texas-Arlington,Missouri State,67,49,-3.5,Y,67-49,2025-11-15
BYU,Connecticut,84,86,6.5,Y,84-86,2025-11-15
Marquette,Maryland,82,89,-8.5,Y,82-89,2025-11-15
Minnesota,Wisconsin-Green Bay,72,65,-25.5,Y,72-65,2025-11-15
Boise State,Montana State,62,58,-17.5,Y,62-58,2025-11-15
UC Irvine,Weber State,79,70,-11.5,Y,79-70,2025-11-15
Santa Clara,Nevada,98,83,-6.5,Y,98-83,2025-11-15
Kansas,Princeton,76,57,-22.5,Y,76-57,2025-11-15
Yale,Stony Brook,86,79,-20.5,Y,86-79,2025-11-15
Cleveland State,Kent State,95,102,11.5,Y,95-102,2025-11-15
St. Bonaventure,Youngstown State,84,80,-9.5,Y,84-80,2025-11-15
Hawaii,Manhattan,86,56,-16.0,Y,86-56,2025-11-15
Toledo,Detroit,90,83,-10.5,Y,90-83,2025-11-15
Southeast Missouri State,St. Thomas (MN),72,84,2.5,N,72-84,2025-11-15
Nebraska,Oklahoma,105,99,-1.5,Y,105-99,2025-11-15
SMU,Butler,87,85,-7.5,Y,87-85,2025-11-15
San Francisco,Bradley,75,64,-9.5,Y,75-64,2025-11-15
Drexel,Syracuse,50,80,11.5,N,50-80,2025-11-15
Texas,UMKC,71,55,-31.5,Y,71-55,2025-11-15
George Washington,Old Dominion,96,73,-14.5,Y,96-73,2025-11-15
Oral Roberts,Belmont,60,83,7.5,N,60-83,2025-11-15
Fresno State,Utah Valley,75,74,4.5,Y,75-74,2025-11-15
Georgetown University,Clemson,79,74,1.5,Y,79-74,2025-11-15
Utah,Sam Houston State,85,79,-12.5,Y,85-79,2025-11-15
La Salle,Penn State,69,83,8.5,N,69-83,2025-11-15
Virginia,Marshall,104,78,-20.5,Y,104-78,2025-11-15
UC San Diego,Idaho,75,67,-5.5,Y,75-67,2025-11-15
Air Force,Miami-Ohio,61,76,10.5,N,61-76,2025-11-15
Temple,Boston College,71,76,-3.5,N,71-76,2025-11-15
Purdue,Akron,97,79,-18.5,Y,97-79,2025-11-16
Dartmouth,Appalachian State,77,85,1.5,N,77-85,2025-11-16
Marist,Harvard,54,56,-5.5,Y,54-56,2025-11-16
Long Beach State,Illinois State,80,82,8.5,Y,80-82,2025-11-16
Hawaii,Dixie State,68,62,-16.5,Y,68-62,2025-11-16
Cincinnati,Mount St. Mary's,72,55,-25.5,Y,72-55,2025-11-16
South Dakota,Western Michigan,83,78,-3.5,Y,83-78,2025-11-16
Western Kentucky,Tennessee State,95,82,-12.5,Y,95-82,2025-11-16
Virginia Tech,Charlotte,84,76,-18.5,Y,84-76,2025-11-16
Cal State-Northridge,Troy,94,85,4.5,Y,94-85,2025-11-16
Ohio State,Notre Dame,64,63,-9.5,Y,64-63,2025-11-16
Kent State,Wright State,76,72,-4.5,Y,76-72,2025-11-16
Memphis,UNLV,78,92,-9.5,N,78-92,2025-11-16
Loyola-Chicago,Colorado State,67,80,3.5,N,67-80,2025-11-16
Auburn,Houston,72,73,7.5,Y,72-73,2025-11-16
Florida,Miami,82,68,-10.5,Y,82-68,2025-11-16
Kennesaw State,South Florida,89,108,7.5,N,89-108,2025-11-16
Central Florida,Oakland,87,83,-13.5,Y,87-83,2025-11-17
North Dakota State,Southern Illinois,92,85,-1.5,Y,92-85,2025-11-17
College of Charleston,Drake,62,71,-7.0,N,62-71,2025-11-17
Portland State,Cal State-Bakersfield,93,80,-7.5,Y,93-80,2025-11-17
Arizona State,Georgia State,75,62,-18.5,Y,75-62,2025-11-17
NC State,VCU,85,79,-11.5,Y,85-79,2025-11-17
Oregon,Oregon State,87,75,-14.0,Y,87-75,2025-11-17
Pennsylvania,Saint Joseph's,83,74,5.5,Y,83-74,2025-11-17
Kansas State,Tulsa,84,83,-12.5,Y,84-83,2025-11-17
Wisconsin,Southern Illinois-Edwardsville,94,69,-25.5,Y,94-69,2025-11-17
Tennessee,Rice,91,66,-26.5,Y,91-66,2025-11-17
UC-Santa Barbara,Loyola Marymount,74,78,-3.5,N,74-78,2025-11-17
Gonzaga,Southern Utah,122,50,-35.5,Y,122-50,2025-11-17
Iowa,Southeast Missouri State,99,70,-23.5,Y,99-70,2025-11-18
Texas A&M,Montana,86,81,-17.5,Y,86-81,2025-11-18
Murray State,Arkansas-Little Rock,89,68,-13.5,Y,89-68,2025-11-18
Iona,Princeton,89,69,-2.5,Y,89-69,2025-11-18
Texas State,Abilene Christian,63,49,-1.5,Y,63-49,2025-11-18
Northern Iowa,Northern Illinois,70,57,-19.5,Y,70-57,2025-11-18
Boise State,Wichita State,62,59,-9.5,Y,62-59,2025-11-18
Utah,PFW,85,77,-12.5,Y,85-77,2025-11-18
Santa Clara,Idaho State,64,55,-15.5,Y,64-55,2025-11-18
Texas,Rider,99,65,-30.5,Y,99-65,2025-11-18
Yale,Rhode Island,77,86,-8.5,N,77-86,2025-11-18
